IngredientImportID,IngredientName,IngredientLOI,IngredientTE,BaO,CaO,Li2O,MgO,K2O,Na2O,ZnO,SrO,F,P2O5,PbO,TiO2,Al2O3,B2O3,Si2O2,CoO,Cr2O3,Fe2O3,FeO,MnO,MnO2,NiO,ZrO2
101,Custer Feldspar,0.0004,8.100023,0,0.033,0,0,0.676,0.291,0,0,0,0,0,0,1.054,0,7.113,0,0,0.005,0,0,0,0,0
102,Gerstley Borate,0.26,9.22028,0,0.717,0,0.166,0.009,0.108,0,0,0,0,0,0,0.033,0.602,0.39,0,0,0.005,0,0,0,0,0
103,Whiting,0.439,14.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Flint,0.03,3.849485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.248,0,0,0,0,0,0,0,0
